Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Age,Education_Group,Total_Children,Total_Campaign_Accepted,Customer_Tenure_Days,Total_Purchases,Total_Spending,Spending_Per_Purchase
Partnered,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,72,Postgraduate,1,0,169,20,544,25.904761904761905
Partnered,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,75,Graduate,1,0,468,20,444,21.142857142857142
Single,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,57,Graduate,0,0,543,8,75,8.333333333333334
Partnered,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,50,Graduate,2,0,398,14,257,17.133333333333333
Partnered,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,37,Graduate,1,0,394,9,131,13.1
Partnered,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,61,Postgraduate,0,1,219,26,1672,61.925925925925924
Divorced,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,37,Postgraduate,0,0,38,8,30,3.3333333333333335
Partnered,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,63,Postgraduate,0,0,414,11,318,26.5
Partnered,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,56,Graduate,1,1,627,9,120,12.0
Divorced,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,1,74,Postgraduate,2,0,608,17,302,16.77777777777778
Partnered,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,80,Postgraduate,0,0,494,18,1196,62.94736842105263
Single,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,75,Postgraduate,2,0,304,6,65,9.285714285714286
Partnered,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,56,Postgraduate,1,0,180,28,913,31.482758620689655
Partnered,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,50,Undergraduate,1,0,300,9,81,8.1
Widow,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,53,Graduate,1,0,138,7,67,8.375
Divorced,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,1,83,Postgraduate,0,1,513,24,902,36.08
Partnered,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,46,Graduate,1,0,426,21,1395,63.40909090909091
Partnered,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,41,Postgraduate,1,0,474,7,53,6.625
Partnered,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,69,Graduate,1,0,552,4,22,4.4
Partnered,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,51,Postgraduate,1,0,270,8,31,3.4444444444444446
Single,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,50,Graduate,0,0,1,16,984,57.88235294117647
Partnered,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,1,30,Undergraduate,0,0,597,10,122,11.090909090909092
Partnered,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,58,Graduate,1,0,401,5,55,9.166666666666666
Partnered,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,72,Postgraduate,2,0,598,28,1319,45.48275862068966
Widow,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,69,Graduate,1,0,48,17,507,28.166666666666668
Partnered,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,62,Postgraduate,0,0,687,29,1693,56.43333333333333
Single,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,49,Graduate,1,0,543,7,72,9.0
Divorced,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,1,49,Graduate,0,2,22,21,1617,73.5
Partnered,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,48,Graduate,2,0,382,23,606,25.25
Partnered,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,1,71,Postgraduate,0,1,587,27,1957,69.89285714285714
Divorced,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,1,60,Graduate,0,0,453,21,1093,49.68181818181818
Single,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,38,Graduate,1,0,62,6,29,4.142857142857143
Partnered,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,58,Postgraduate,1,0,118,19,518,25.9
Single,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,1,44,Postgraduate,0,2,360,21,1438,65.36363636363636
Partnered,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,51,Graduate,2,0,660,22,612,26.608695652173914
Single,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,74,Graduate,1,0,496,24,884,35.36
Widow,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,75,Postgraduate,1,0,383,19,606,30.3
Partnered,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,78,Graduate,0,0,205,16,1076,63.294117647058826
Partnered,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,1,55,Graduate,1,0,404,5,34,5.666666666666667
Partnered,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,59,Graduate,2,0,49,4,11,2.2
Single,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,1,47,Undergraduate,1,2,102,32,1274,38.60606060606061
Partnered,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,68,Graduate,1,0,275,18,653,34.36842105263158
Partnered,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,56,Graduate,3,0,447,19,1562,78.1
Partnered,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,72,Postgraduate,0,0,656,21,1253,56.95454545454545
Partnered,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,67,Graduate,1,0,469,30,863,27.838709677419356
Partnered,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,51,Postgraduate,2,1,450,24,661,26.44
Partnered,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,74,Graduate,0,0,60,8,65,7.222222222222222
Divorced,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,49,Graduate,1,0,557,4,13,2.6
Partnered,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,1,54,Postgraduate,0,0,671,19,1890,94.5
Single,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,1,50,Graduate,0,1,625,22,2209,96.04347826086956
Partnered,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,0,50,Undergraduate,0,0,298,4,18,3.6
Partnered,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,1,61,Graduate,0,1,543,21,692,31.454545454545453
Single,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,41,Graduate,1,0,669,12,165,12.692307692307692
Partnered,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,57,Graduate,1,0,371,4,16,3.2
Partnered,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,53,Undergraduate,1,0,361,9,79,7.9
Partnered,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,63,Postgraduate,0,0,414,11,318,26.5
Divorced,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,39,Graduate,0,0,124,27,778,27.785714285714285
Partnered,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,66,Graduate,2,0,322,7,56,7.0
Partnered,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,56,Postgraduate,2,1,348,13,151,10.785714285714286
Single,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,1,69,Graduate,1,2,32,17,372,20.666666666666668
Partnered,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,53,Graduate,0,1,48,19,1366,68.3
Partnered,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,59,Graduate,1,0,159,10,194,17.636363636363637
Single,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,54,Postgraduate,1,0,98,5,32,5.333333333333333
Partnered,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,56,Postgraduate,1,0,36,10,43,3.909090909090909
Partnered,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,43,Graduate,1,0,38,6,45,6.428571428571429
Widow,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,66,Graduate,1,1,584,22,606,26.347826086956523
Divorced,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,54,Graduate,2,0,444,7,63,7.875
Partnered,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,75,Undergraduate,0,1,210,25,978,37.61538461538461
Partnered,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,43,Postgraduate,0,0,374,16,410,24.11764705882353
Single,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,66,Undergraduate,1,0,341,7,72,9.0
Single,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,67,Postgraduate,1,0,91,7,55,6.875
Partnered,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,47,Graduate,1,0,435,27,1169,41.75
Partnered,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,81,Postgraduate,0,0,408,16,1120,65.88235294117646
Partnered,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,1,67,Graduate,0,0,52,20,1097,52.23809523809524
Partnered,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,47,Undergraduate,1,0,201,5,29,4.833333333333333
Partnered,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,62,Graduate,2,0,278,13,187,13.357142857142858
Partnered,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,57,Graduate,2,0,512,26,910,33.7037037037037
Single,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,48,Graduate,1,0,557,9,145,14.5
Partnered,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,66,Postgraduate,0,0,569,14,850,56.666666666666664
Partnered,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,47,Graduate,1,0,239,24,969,38.76
Single,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,1,35,Postgraduate,0,1,596,17,1820,101.11111111111111
Partnered,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,63,Postgraduate,1,1,4,20,608,28.952380952380953
Single,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,1,35,Graduate,0,2,543,25,730,28.076923076923077
Partnered,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,46,Postgraduate,1,0,564,21,551,25.045454545454547
Single,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,64,Graduate,2,0,292,8,114,12.666666666666666
Partnered,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,0,56,Graduate,0,2,156,15,1724,107.75
Partnered,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,48,Undergraduate,1,0,495,20,577,27.476190476190474
Partnered,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,59,Undergraduate,2,0,353,7,81,10.125
Partnered,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,57,Graduate,1,0,227,7,33,4.125
Partnered,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,73,Postgraduate,1,0,374,22,660,28.695652173913043
Single,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,1,59,Postgraduate,1,0,125,9,80,8.0
Partnered,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,41,Postgraduate,2,0,298,6,30,4.285714285714286
Divorced,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,50,Graduate,1,0,433,5,43,7.166666666666667
Single,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,1,43,Graduate,0,3,474,27,1135,40.535714285714285
Partnered,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,61,Undergraduate,0,0,496,16,559,32.88235294117647
Single,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,1,42,Graduate,0,0,434,16,1923,113.11764705882354
Partnered,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,73,Postgraduate,2,0,21,8,90,10.0
Partnered,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,70,Postgraduate,2,0,50,23,661,27.541666666666668
Partnered,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,74,Graduate,1,0,272,19,463,23.15
Single,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,0,68,Postgraduate,2,0,476,23,632,26.333333333333332
Partnered,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,57,Graduate,0,0,139,19,725,36.25
Partnered,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,62,Postgraduate,2,0,319,16,279,16.41176470588235
Partnered,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,59,Postgraduate,0,1,469,23,1482,61.75
Divorced,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,50,Undergraduate,1,0,690,6,29,4.142857142857143
Partnered,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,67,Postgraduate,3,0,357,9,106,10.6
Single,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,1,53,Postgraduate,2,1,41,6,49,7.0
Divorced,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,61,Postgraduate,2,0,336,7,38,4.75
Single,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,0,34,Postgraduate,0,0,618,22,2077,90.30434782608695
Partnered,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,1,50,Postgraduate,1,0,227,17,1053,58.5
Partnered,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,0,64,Graduate,0,0,436,23,1385,57.708333333333336
Single,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,0,52,Postgraduate,1,0,305,25,871,33.5
Partnered,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,38,Graduate,1,0,467,12,312,24.0
Partnered,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,0,50,Graduate,2,0,619,15,877,54.8125
Partnered,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,1,51,Graduate,1,0,609,6,68,9.714285714285714
Partnered,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,0,45,Graduate,1,0,305,4,22,4.4
Partnered,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,53,Undergraduate,3,0,676,16,211,12.411764705882353
Partnered,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,0,60,Postgraduate,0,0,8,8,127,14.11111111111111
Partnered,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,0,73,Postgraduate,2,0,66,16,459,27.0
Partnered,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,0,57,Graduate,1,1,114,19,460,23.0
Partnered,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,0,54,Undergraduate,1,0,562,17,429,23.833333333333332
Single,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,38,Graduate,1,0,48,11,89,7.416666666666667
Partnered,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,0,74,Postgraduate,1,0,628,26,1021,37.81481481481482
Partnered,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,1,77,Graduate,0,2,495,21,1381,62.77272727272727
Single,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,68,Graduate,1,0,356,15,306,19.125
Single,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,0,48,Graduate,3,0,290,4,18,3.6
Partnered,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,49,Graduate,1,0,255,9,162,16.2
Single,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,0,71,Graduate,0,0,313,18,1231,64.78947368421052
Single,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,68,Postgraduate,3,0,363,4,13,2.6
Partnered,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,0,81,Postgraduate,0,0,601,27,1706,60.92857142857143
Partnered,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,0,42,Graduate,1,0,175,11,121,10.083333333333334
Divorced,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,51,Postgraduate,0,0,424,20,1293,61.57142857142857
Partnered,157243.0,98,20,2,1582,1,2,1,15,0,22,0,0,0,53,Postgraduate,1,0,120,37,1608,42.31578947368421
Partnered,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,0,60,Graduate,3,0,228,9,88,8.8
Divorced,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,0,73,Graduate,0,1,223,18,421,22.157894736842106
Divorced,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,0,67,Graduate,0,1,305,12,259,19.923076923076923
Single,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,0,38,Graduate,0,0,239,15,1117,69.8125
Partnered,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,0,69,Graduate,2,0,124,9,89,8.9
Partnered,33456.0,58,7,3,10,8,1,7,2,1,0,3,7,0,61,Graduate,2,0,69,6,36,5.142857142857143
Partnered,28718.0,78,12,4,6,11,8,16,2,2,0,3,8,0,44,Graduate,1,0,351,7,57,7.125
Partnered,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,0,56,Graduate,2,0,69,8,148,16.444444444444443
Partnered,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,0,67,Postgraduate,2,0,150,8,93,10.333333333333334
Single,52074.0,77,59,0,12,0,0,48,1,2,2,2,4,0,59,Graduate,1,1,86,7,119,14.875
Partnered,80427.0,56,1149,71,449,69,71,26,1,11,8,8,5,0,51,Postgraduate,1,0,655,28,1835,63.275862068965516
Partnered,83837.0,79,847,66,119,86,89,111,1,9,10,5,4,1,78,Postgraduate,0,2,560,25,1318,50.69230769230769
Partnered,38853.0,90,29,0,14,0,0,2,2,2,0,3,7,0,56,Postgraduate,2,0,37,7,45,5.625
Partnered,38285.0,96,2,0,5,2,0,1,1,0,0,3,2,0,67,Graduate,3,0,5,4,10,2.0
Partnered,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,75,Undergraduate,0,1,210,25,978,37.61538461538461
Partnered,51650.0,81,152,3,22,2,5,7,1,4,1,4,5,0,50,Postgraduate,1,0,49,10,191,17.363636363636363
Partnered,16248.0,77,12,11,10,3,12,9,3,2,1,3,6,0,38,Undergraduate,1,0,50,9,57,5.7
Partnered,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,0,80,Postgraduate,0,0,274,24,1033,41.32
Partnered,30477.0,16,47,1,6,0,0,12,1,1,1,3,6,0,42,Postgraduate,1,0,158,6,66,9.428571428571429
Partnered,28249.0,80,1,9,7,2,14,10,1,2,0,3,6,0,65,Undergraduate,0,0,14,6,43,6.142857142857143
Partnered,25271.0,45,10,1,18,10,4,7,1,1,1,2,9,0,43,Graduate,1,0,571,5,50,8.333333333333334
Single,32303.0,63,35,0,2,0,0,2,2,1,0,4,5,0,56,Postgraduate,1,0,113,7,39,4.875
Partnered,61286.0,34,356,0,107,19,9,117,2,7,1,8,5,0,60,Graduate,1,0,331,18,608,32.0
Partnered,74068.0,14,783,30,537,140,76,15,1,4,10,9,2,0,50,Graduate,0,0,467,24,1581,63.24
Partnered,45759.0,13,42,1,18,3,0,4,2,2,0,3,7,0,62,Postgraduate,2,0,491,7,68,8.5
Partnered,24882.0,52,1,4,10,29,0,36,1,1,1,2,6,0,48,Undergraduate,1,1,658,5,80,13.333333333333334
Partnered,66973.0,98,466,22,432,147,113,102,1,8,7,12,3,0,37,Postgraduate,0,0,408,28,1282,44.206896551724135
Partnered,38872.0,93,23,3,21,3,19,22,2,3,0,3,8,0,38,Graduate,1,0,395,8,91,10.11111111111111
Partnered,51148.0,38,235,6,45,8,9,12,4,5,1,6,6,0,53,Graduate,2,0,496,16,315,18.529411764705884
Partnered,31353.0,24,10,0,10,3,1,7,2,1,1,2,8,0,49,Graduate,2,0,182,6,31,4.428571428571429
Partnered,69661.0,80,656,16,106,32,16,8,1,7,3,12,3,0,46,Postgraduate,0,0,47,23,834,34.75
Partnered,80067.0,82,519,17,813,27,173,51,1,4,6,6,2,0,72,Graduate,0,1,283,17,1600,88.88888888888889
Partnered,86718.0,20,344,189,482,50,33,172,1,5,6,5,2,0,72,Graduate,0,0,528,17,1270,70.55555555555556
Single,46854.0,81,96,1,79,7,1,79,6,5,1,3,8,1,53,Postgraduate,2,1,90,15,263,16.4375
Divorced,69142.0,50,448,4,34,6,4,39,3,8,1,7,5,0,74,Graduate,1,1,0,19,535,26.75
Single,75922.0,60,265,138,553,224,23,92,1,4,4,9,1,0,58,Graduate,0,0,202,18,1295,68.15789473684211
Divorced,63693.0,63,587,43,337,42,87,54,3,11,6,9,6,0,48,Graduate,1,0,258,29,1150,38.333333333333336
Partnered,102160.0,54,763,29,138,76,176,58,0,7,9,10,4,1,49,Postgraduate,0,3,604,26,1240,45.925925925925924
Single,40637.0,72,22,0,13,0,0,3,2,1,0,3,7,0,61,Postgraduate,2,0,347,6,38,5.428571428571429
Single,18890.0,5,6,4,1,7,2,15,1,0,1,2,6,1,42,Postgraduate,0,1,596,4,35,7.0
Partnered,29604.0,88,7,6,13,7,6,14,1,1,0,3,9,0,38,Graduate,1,1,203,5,53,8.833333333333334
Divorced,48721.0,50,81,18,113,47,13,21,6,4,2,5,6,0,63,Postgraduate,2,0,412,17,293,16.27777777777778
Partnered,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,0,60,Graduate,1,0,21,6,65,9.285714285714286
Divorced,64497.0,17,1170,48,320,42,32,192,5,11,4,9,8,1,72,Graduate,1,1,657,29,1804,60.13333333333333
Partnered,46097.0,11,72,24,68,65,4,8,5,3,1,6,4,0,70,Graduate,1,0,455,15,241,15.0625
Partnered,77972.0,18,613,22,319,33,102,12,1,4,6,9,1,0,72,Graduate,0,0,103,20,1101,52.42857142857143
Partnered,44377.0,70,224,0,30,0,0,10,8,5,1,5,8,0,58,Postgraduate,2,0,632,19,264,13.2
Partnered,46014.0,21,410,0,59,19,9,44,10,7,1,8,7,0,52,Postgraduate,2,0,524,26,541,20.037037037037038
Partnered,70951.0,66,239,10,554,254,87,54,1,3,4,9,1,0,41,Graduate,0,0,421,17,1198,66.55555555555556
Partnered,41443.0,79,171,7,171,25,19,89,6,8,1,5,8,0,49,Graduate,1,0,89,20,482,22.952380952380953
Single,52195.0,2,12,0,4,0,0,1,1,1,0,2,8,0,48,Undergraduate,3,0,48,4,17,3.4
Partnered,83790.0,81,1076,16,417,42,48,16,1,8,10,6,3,0,78,Postgraduate,0,2,226,25,1615,62.11538461538461
Widow,44551.0,24,182,4,33,0,0,66,2,4,1,5,7,0,72,Postgraduate,1,0,302,12,285,21.923076923076923
Partnered,69508.0,48,824,32,162,42,32,43,2,11,4,11,6,0,46,Graduate,1,0,592,28,1135,39.13793103448276
Partnered,45204.0,93,30,11,25,29,1,18,1,1,1,4,3,0,38,Undergraduate,1,0,79,7,114,14.25
Partnered,72460.0,56,377,10,540,80,30,10,1,3,5,7,1,0,57,Graduate,0,0,227,16,1047,61.588235294117645
Partnered,77622.0,3,520,7,154,19,0,14,2,6,3,11,3,0,56,Postgraduate,2,0,76,22,714,31.043478260869566
Partnered,30732.0,44,155,1,25,0,1,3,4,4,1,4,8,0,46,Postgraduate,1,0,540,13,185,13.214285714285714
Divorced,63887.0,38,897,23,207,15,11,92,5,9,6,12,6,0,64,Graduate,1,0,659,32,1245,37.72727272727273
Partnered,42011.0,46,131,0,16,2,1,39,4,3,1,4,8,0,48,Graduate,1,0,460,12,189,14.538461538461538
Partnered,51369.0,84,297,7,79,0,11,182,2,8,2,4,8,0,50,Graduate,1,0,612,16,576,33.88235294117647
Divorced,51537.0,27,787,20,204,0,0,92,3,2,2,11,8,0,74,Graduate,1,0,567,18,1103,58.05263157894737
Partnered,79930.0,72,792,86,740,67,51,17,1,3,5,8,2,0,54,Postgraduate,0,0,690,17,1753,97.38888888888889
Partnered,34320.0,66,4,1,9,3,0,0,1,1,0,2,8,0,40,Postgraduate,1,0,133,4,17,3.4
Single,37070.0,30,231,7,137,4,15,39,9,5,1,8,7,1,60,Graduate,2,0,466,23,433,18.041666666666668
Divorced,81975.0,2,983,76,184,180,138,27,1,6,3,4,7,0,64,Undergraduate,1,1,540,14,1588,105.86666666666666
Partnered,38590.0,65,3,1,8,4,3,3,1,1,0,2,8,0,55,Graduate,1,0,410,4,22,4.4
Single,15033.0,37,0,4,5,6,0,4,1,1,0,3,3,0,75,Graduate,0,0,74,5,19,3.1666666666666665
Partnered,62745.0,89,562,21,464,28,10,32,3,7,8,11,5,0,61,Postgraduate,1,0,463,29,1117,37.233333333333334
Partnered,22212.0,49,5,9,20,6,8,21,2,2,0,4,6,0,51,Undergraduate,1,0,202,8,69,7.666666666666667
Partnered,23661.0,46,18,0,4,0,0,1,1,1,0,3,7,0,44,Postgraduate,1,0,207,5,23,3.8333333333333335
